10000	0.00000126
20000	0.00000131
30000	0.00000133
40000	0.00000136
50000	0.00000138
60000	0.00000140
70000	0.00000142
80000	0.00000146
90000	0.00000147
100000	0.00000150
110000	0.00000156
120000	0.00000155
130000	0.00000157
140000	0.00000159
150000	0.00000161
160000	0.00000165
170000	0.00000166
180000	0.00000168
190000	0.00000169
200000	0.00000173
250000	0.00000178
300000	0.00000184
350000	0.00000188
400000	0.00000194
450000	0.00000196
500000	0.00000196
550000	0.00000201
600000	0.00000204
650000	0.00000207
700000	0.00000212
750000	0.00000210
800000	0.00000210
850000	0.00000213
900000	0.00000219
950000	0.00000223
1000000	0.00000221
1250000	0.00000249
